zip_code,latitude,longitude,distance,duration
22850,38.571887,-78.916794,129 mi,2 hours 9 mins
22851,38.559952,-78.512896,101 mi,1 hour 53 mins
22853,38.669107000000004,-78.759322,113 mi,1 hour 52 mins
22901,38.096352,-78.556894,117 mi,2 hours 14 mins
22902,37.953759999999996,-78.469502,116 mi,2 hours 17 mins
22903,38.002721,-78.608875,127 mi,2 hours 24 mins
22904,38.037046000000004,-78.517947,119 mi,2 hours 19 mins
22911,38.096663,-78.399441,112 mi,2 hours 7 mins
22920,37.975038,-78.824356,137 mi,2 hours 34 mins
22922,37.68187,-78.927548,154 mi,2 hours 48 mins
22923,38.186576,-78.326984,104 mi,1 hour 55 mins
22931,37.907732,-78.711055,132 mi,2 hours 28 mins
22932,38.130301,-78.685998,126 mi,2 hours 28 mins
22935,38.255105,-78.568058,113 mi,2 hours 11 mins
22936,38.156572,-78.5093,110 mi,2 hours 9 mins
22937,37.819234,-78.615299,132 mi,2 hours 36 mins
22938,37.849965999999995,-78.805866,138 mi,2 hours 32 mins
22939,38.093826,-78.985045,158 mi,2 hours 27 mins
22940,38.208712,-78.624924,119 mi,2 hours 29 mins
22942,38.092188,-78.147576,97.6 mi,1 hour 59 mins
22943,38.042969,-78.781769,133 mi,2 hours 30 mins
22946,37.846179,-78.57107,127 mi,2 hours 28 mins
22947,38.053411,-78.318596,104 mi,1 hour 57 mins
22948,38.359933,-78.118364,81.1 mi,1 hour 30 mins
22949,37.791306,-78.86945,146 mi,2 hours 40 mins
22952,37.962247999999995,-78.959991,172 mi,2 hours 39 mins
22958,37.8963,-78.891608,146 mi,2 hours 44 mins
22959,37.935536,-78.637951,127 mi,2 hours 23 mins
22960,38.216981,-78.036551,84.8 mi,1 hour 37 mins
22963,37.835663000000004,-78.283957,118 mi,2 hours 17 mins
22964,37.717042,-78.985993,154 mi,2 hours 48 mins
22967,37.821473,-79.038449,162 mi,3 hours 8 mins
22968,38.255022,-78.376775,99.0 mi,1 hour 48 mins
22969,37.783994,-78.698008,144 mi,2 hours 43 mins
22971,37.751712,-78.803236,146 mi,2 hours 48 mins
22972,38.217776,-78.225162,93.0 mi,1 hour 48 mins
22973,38.342546,-78.484864,104 mi,1 hour 58 mins
22974,37.962299,-78.263335,110 mi,2 hours 7 mins
22976,37.832139,-79.054567,165 mi,3 hours 4 mins
22980,38.107415,-78.903737,159 mi,2 hours 26 mins
23002,37.3479,-77.963641,141 mi,2 hours 20 mins
23004,37.671226000000004,-78.417266,132 mi,2 hours 39 mins
23005,37.755478000000004,-77.495898,91.4 mi,1 hour 30 mins
23009,37.809509,-77.186544,99.7 mi,1 hour 39 mins
23011,37.47822,-76.806394,139 mi,2 hours 9 mins
23015,37.936614,-77.618417,82.3 mi,1 hour 25 mins
23021,37.388486,-76.369327,151 mi,2 hours 46 mins
23022,37.741121,-78.262648,120 mi,2 hours 22 mins
23023,37.784555,-76.923408,118 mi,2 hours 1 min
23024,37.941024,-77.792732,92.1 mi,1 hour 41 mins
23025,37.416298,-76.37556,150 mi,2 hours 43 mins
23027,37.633340000000004,-78.148186,144 mi,2 hours 20 mins
23030,37.356787,-77.071575,131 mi,2 hours 5 mins
23032,37.669067999999996,-76.672139,123 mi,2 hours 13 mins
23035,37.506604,-76.372794,147 mi,2 hours 39 mins
23038,37.754721,-78.136475,113 mi,2 hours 14 mins
23039,37.656199,-77.807748,122 mi,1 hour 55 mins
23040,37.525651,-78.258119,156 mi,2 hours 36 mins
23043,37.567441,-76.349367,145 mi,2 hours 39 mins
23045,37.426919,-76.275966,157 mi,2 hours 53 mins
23047,37.859086,-77.482716,83.2 mi,1 hour 21 mins
23050,37.490124,-76.433945,143 mi,2 hours 35 mins
23055,37.781817,-78.214565,118 mi,2 hours 21 mins
23056,37.438806,-76.38509,149 mi,2 hours 43 mins
23059,37.70859,-77.543686,98.4 mi,1 hour 37 mins
23060,37.661738,-77.531268,104 mi,1 hour 37 mins
23061,37.44086,-76.557096,142 mi,2 hours 33 mins
23062,37.256372,-76.504307,164 mi,2 hours 33 mins
23063,37.7264,-77.985335,130 mi,2 hours 2 mins
23065,37.802032000000004,-77.930652,104 mi,1 hour 58 mins
23068,37.493322,-76.347474,149 mi,2 hours 43 mins
23069,37.7632,-77.333322,96.0 mi,1 hour 35 mins
23070,37.559601,-76.389499,142 mi,2 hours 34 mins
23071,37.542711,-76.439698,139 mi,2 hours 31 mins
23072,37.30473,-76.48371,168 mi,2 hours 39 mins
23075,37.549682,-77.316375,111 mi,1 hour 42 mins
23076,37.475615999999995,-76.31646,151 mi,2 hours 45 mins
23079,37.730806,-76.672338,120 mi,2 hours 10 mins
23083,37.322632,-78.113406,152 mi,2 hours 34 mins
23084,37.880251,-78.106509,106 mi,2 hours 1 min
23085,37.726138,-76.831094,123 mi,2 hours 9 mins
23086,37.663268,-77.045424,116 mi,1 hour 58 mins
23089,37.463767,-76.89484,142 mi,2 hours 7 mins
23091,37.652141,-76.792408,130 mi,2 hours 16 mins
23092,37.588712,-76.510468,134 mi,2 hours 25 mins
23093,37.987107,-78.057094,95.7 mi,1 hour 50 mins
23102,37.718875,-77.828672,120 mi,1 hour 50 mins
23103,37.646326,-77.727202,116 mi,1 hour 53 mins
23106,37.725854,-77.208391,102 mi,1 hour 45 mins
23108,37.618838000000004,-76.730162,128 mi,2 hours 18 mins
23109,37.43734,-76.332434,152 mi,2 hours 46 mins
23110,37.562425,-76.778758,147 mi,2 hours 22 mins
23111,37.613414,-77.257154,110 mi,1 hour 46 mins
23112,37.438113,-77.67246,119 mi,1 hour 54 mins
23113,37.545826,-77.670741,120 mi,1 hour 52 mins
23114,37.48645,-77.659282,119 mi,1 hour 54 mins
23116,37.675456,-77.32502,102 mi,1 hour 41 mins
23117,37.965538,-77.883705,91.5 mi,1 hour 44 mins
23119,37.445036,-76.272334,156 mi,2 hours 52 mins
23120,37.413328,-77.781582,126 mi,2 hours 4 mins
23123,37.642328,-78.295652,127 mi,2 hours 32 mins
23124,37.549208,-77.044627,125 mi,1 hour 59 mins
23125,37.347684,-76.280613,161 mi,2 hours 58 mins
23126,37.918346,-77.143893,95.7 mi,1 hour 38 mins
23128,37.462541,-76.376528,149 mi,2 hours 42 mins
23129,37.700888,-77.785674,118 mi,1 hour 49 mins
23130,37.39772,-76.277378,158 mi,2 hours 55 mins
23138,37.374955,-76.301351,158 mi,2 hours 54 mins
23139,37.552907,-77.941096,133 mi,2 hours 7 mins
23140,37.432286,-77.02211,130 mi,2 hours 8 mins
23141,37.528366,-77.15531,117 mi,1 hour 48 mins
23146,37.723864,-77.712476,106 mi,1 hour 51 mins
23148,37.86086,-77.055519,103 mi,1 hour 48 mins
23149,37.57369,-76.599219,130 mi,2 hours 20 mins
23150,37.503766,-77.263513,113 mi,1 hour 44 mins
23153,37.783412,-77.941505,128 mi,2 hours 0 mins
23156,37.538517999999996,-76.713854,144 mi,2 hours 24 mins
23161,37.715555,-76.926087,118 mi,2 hours 1 min
23163,37.341074,-76.305051,161 mi,2 hours 59 mins
23168,37.39155,-76.830929,140 mi,2 hours 9 mins
23169,37.592954,-76.453954,137 mi,2 hours 29 mins
23175,37.649384,-76.607456,126 mi,2 hours 15 mins
23176,37.566309999999994,-76.429644,140 mi,2 hours 32 mins
23177,37.745459,-77.013302,114 mi,1 hour 56 mins
23180,37.705282,-76.611582,125 mi,2 hours 18 mins
23181,37.58794,-76.891644,121 mi,2 hours 2 mins
23185,37.233951,-76.736472,154 mi,2 hours 23 mins
23188,37.358168,-76.741868,144 mi,2 hours 10 mins
23192,37.825944,-77.673348,91.3 mi,1 hour 39 mins
23219,37.540847,-77.439298,106 mi,1 hour 41 mins
23220,37.551325,-77.458757,106 mi,1 hour 41 mins
23221,37.552095,-77.500073,105 mi,1 hour 41 mins
23222,37.581314,-77.41543,104 mi,1 hour 40 mins
23223,37.558198,-77.376967,109 mi,1 hour 41 mins
23224,37.496402,-77.470836,110 mi,1 hour 48 mins
23225,37.516878,-77.499402,108 mi,1 hour 42 mins
23226,37.584398,-77.518046,107 mi,1 hour 42 mins
23227,37.614952,-77.442099,99.7 mi,1 hour 32 mins
23228,37.624342,-77.496277,101 mi,1 hour 38 mins
23229,37.593879,-77.5748,109 mi,1 hour 45 mins
23230,37.586649,-77.489859,104 mi,1 hour 37 mins
23231,37.443571999999996,-77.2995,120 mi,1 hour 51 mins
23233,37.651178,-77.61969,109 mi,1 hour 43 mins
23234,37.458422,-77.469799,116 mi,1 hour 50 mins
23235,37.502614,-77.569416,112 mi,1 hour 46 mins
23236,37.467781,-77.58848,114 mi,1 hour 48 mins
23237,37.399706,-77.475197,120 mi,1 hour 55 mins
23238,37.607168,-77.636598,111 mi,1 hour 47 mins
23294,37.628006,-77.543697,104 mi,1 hour 41 mins
23301,37.67035,-75.657008,185 mi,3 hours 23 mins
23302,37.856054,-75.528235,172 mi,3 hours 6 mins
23303,37.902488,-75.5175,168 mi,3 hours 0 mins
23306,37.584548,-75.870862,198 mi,3 hours 36 mins
23307,37.417632,-75.794253,206 mi,3 hours 48 mins
23308,37.814201000000004,-75.598757,174 mi,3 hours 8 mins
23310,37.215856,-75.902652,225 mi,3 hours 35 mins
23314,36.965132000000004,-76.518011,180 mi,2 hours 49 mins
23315,36.731612,-76.838924,184 mi,3 hours 1 min
23320,36.764063,-76.199408,200 mi,3 hours 7 mins
23321,36.806946,-76.414346,193 mi,2 hours 55 mins
23322,36.643075,-76.278472,213 mi,3 hours 18 mins
23323,36.702894,-76.37291,203 mi,3 hours 6 mins
23324,36.801520000000004,-76.276521,202 mi,3 hours 5 mins
23325,36.813695,-76.238736,199 mi,3 hours 5 mins
23336,37.942039,-75.326264,,
23337,37.868382000000004,-75.453698,176 mi,3 hours 14 mins
23350,37.512861,-75.876586,203 mi,3 hours 42 mins
23354,37.474832,-75.898066,204 mi,3 hours 43 mins
23356,38.00016,-75.410018,157 mi,2 hours 56 mins
23357,37.762843,-75.680758,182 mi,3 hours 18 mins
23358,37.645421999999996,-75.863487,197 mi,3 hours 36 mins
23359,37.87965,-75.589496,171 mi,3 hours 5 mins
23395,37.974334999999996,-75.471174,164 mi,2 hours 56 mins
23404,37.636339,-75.674492,188 mi,3 hours 25 mins
23405,37.424192,-75.913558,208 mi,3 hours 46 mins
23409,37.876792,-75.645569,175 mi,3 hours 13 mins
23410,37.621788,-75.758337,190 mi,3 hours 25 mins
23415,37.956751000000004,-75.530908,163 mi,2 hours 53 mins
23416,37.949706,-75.59115,167 mi,2 hours 59 mins
23417,37.734116,-75.777336,188 mi,3 hours 24 mins
23418,37.669713,-75.687447,187 mi,3 hours 24 mins
23420,37.570836,-75.74331,196 mi,3 hours 33 mins
23421,37.785877,-75.627646,177 mi,3 hours 12 mins
23426,37.921344,-75.687439,174 mi,3 hours 9 mins
23430,37.01214,-76.664417,175 mi,2 hours 54 mins
23432,36.876868,-76.558878,190 mi,3 hours 4 mins
23433,36.914062,-76.47152,187 mi,3 hours 0 mins
23434,36.704066,-76.617011,194 mi,3 hours 13 mins
23435,36.84702,-76.478912,192 mi,2 hours 56 mins
23436,36.89514,-76.517356,186 mi,2 hours 59 mins
23437,36.640325,-76.801337,190 mi,3 hours 3 mins
23438,36.59305,-76.724567,197 mi,3 hours 14 mins
23442,37.889853,-75.561814,169 mi,3 hours 6 mins
23451,36.857214,-76.02818,204 mi,3 hours 8 mins
23452,36.849396,-76.095534,200 mi,3 hours 5 mins
23453,36.782218,-76.077854,203 mi,3 hours 13 mins
23454,36.826122,-76.026148,204 mi,3 hours 9 mins
23455,36.919017,-76.143352,196 mi,3 hours 4 mins
23456,36.67483,-76.011469,211 mi,3 hours 24 mins
23457,36.622813,-76.021397,216 mi,3 hours 30 mins
23462,36.835688,-76.14661,197 mi,3 hours 0 mins
23464,36.798671,-76.178112,198 mi,3 hours 3 mins
23487,36.862753,-76.714326,181 mi,3 hours 0 mins
23488,37.950177,-75.606014,167 mi,3 hours 2 mins
23502,36.856749,-76.212514,193 mi,3 hours 0 mins
23503,36.948056,-76.256983,185 mi,2 hours 49 mins
23504,36.862764,-76.261355,192 mi,3 hours 0 mins
23505,36.91072,-76.29874,189 mi,2 hours 54 mins
23507,36.865551,-76.302195,192 mi,3 hours 2 mins
23508,36.882451,-76.308338,191 mi,3 hours 0 mins
23509,36.882082000000004,-76.263058,189 mi,2 hours 54 mins
23510,36.8522,-76.294156,197 mi,3 hours 2 mins
23511,36.940419,-76.30013,187 mi,2 hours 54 mins
23513,36.889734,-76.235176,190 mi,2 hours 53 mins
23517,36.869372999999996,-76.293816,192 mi,3 hours 1 min
23518,36.909298,-76.215043,191 mi,2 hours 56 mins
23523,36.832048,-76.269869,199 mi,3 hours 2 mins
23601,37.04677,-76.485306,172 mi,2 hours 42 mins
23602,37.114094,-76.514428,167 mi,2 hours 34 mins
23603,37.19214,-76.567594,159 mi,2 hours 25 mins
