state,zip_code,zip_url,latitude,longitude,population,house_value,household_income
VA,22214,https://www.zip-codes.com/zip-code/22214/zip-code-22214.asp,38.8787,-77.1155,2,0,0
VA,22301,https://www.zip-codes.com/zip-code/22301/zip-code-22301.asp,38.818362,-77.06043200000000,14955,772700,157145
VA,22302,https://www.zip-codes.com/zip-code/22302/zip-code-22302.asp,38.83071500000000,-77.093618,18017,430800,105968
VA,22303,https://www.zip-codes.com/zip-code/22303/zip-code-22303.asp,38.790068,-77.08120500000000,16549,390500,94227
VA,22304,https://www.zip-codes.com/zip-code/22304/zip-code-22304.asp,38.812167,-77.126406,48016,350600,80676
VA,22305,https://www.zip-codes.com/zip-code/22305/zip-code-22305.asp,38.836316,-77.06500600000000,18099,618200,91345
VA,22306,https://www.zip-codes.com/zip-code/22306/zip-code-22306.asp,38.759052,-77.087124,33523,436800,76610
VA,22307,https://www.zip-codes.com/zip-code/22307/zip-code-22307.asp,38.77206500000000,-77.05872100000000,10080,543800,113936
VA,22308,https://www.zip-codes.com/zip-code/22308/zip-code-22308.asp,38.731352,-77.061923,13278,666500,183929
VA,22309,https://www.zip-codes.com/zip-code/22309/zip-code-22309.asp,38.718398,-77.107164,33216,430800,85292
VA,22310,https://www.zip-codes.com/zip-code/22310/zip-code-22310.asp,38.782006,-77.12204800000000,28388,460700,123791
VA,22311,https://www.zip-codes.com/zip-code/22311/zip-code-22311.asp,38.833893,-77.12208200000000,19663,519400,68488
VA,22312,https://www.zip-codes.com/zip-code/22312/zip-code-22312.asp,38.817522,-77.152674,31272,445700,79834
VA,22314,https://www.zip-codes.com/zip-code/22314/zip-code-22314.asp,38.81403,-77.063962,36097,673800,125404
VA,22315,https://www.zip-codes.com/zip-code/22315/zip-code-22315.asp,38.7575,-77.13660900000000,28191,465300,130116
VA,22401,https://www.zip-codes.com/zip-code/22401/zip-code-22401.asp,38.298282,-77.491386,25777,346500,63274
VA,22405,https://www.zip-codes.com/zip-code/22405/zip-code-22405.asp,38.31984,-77.41158400000000,34974,291700,93389
VA,22406,https://www.zip-codes.com/zip-code/22406/zip-code-22406.asp,38.402857,-77.54719,28653,360300,98427
VA,22407,https://www.zip-codes.com/zip-code/22407/zip-code-22407.asp,38.26342800000000,-77.598161,64971,269700,84829
VA,22408,https://www.zip-codes.com/zip-code/22408/zip-code-22408.asp,38.20885300000000,-77.402934,33261,277800,89078
VA,22427,https://www.zip-codes.com/zip-code/22427/zip-code-22427.asp,38.024761,-77.249305,2688,159200,53240
VA,22432,https://www.zip-codes.com/zip-code/22432/zip-code-22432.asp,37.858898,-76.340852,285,231400,0
VA,22433,https://www.zip-codes.com/zip-code/22433/zip-code-22433.asp,38.3614,-77.866638,240,0,83558
VA,22435,https://www.zip-codes.com/zip-code/22435/zip-code-22435.asp,37.933486,-76.569604,1969,167600,47521
VA,22436,https://www.zip-codes.com/zip-code/22436/zip-code-22436.asp,38.103377,-77.101182,731,251700,56250
VA,22437,https://www.zip-codes.com/zip-code/22437/zip-code-22437.asp,37.796048,-76.73196300000000,578,135900,56541
VA,22438,https://www.zip-codes.com/zip-code/22438/zip-code-22438.asp,38.042582,-76.995786,355,125000,56324
VA,22443,https://www.zip-codes.com/zip-code/22443/zip-code-22443.asp,38.177557,-76.984687,10296,226500,55938
VA,22448,https://www.zip-codes.com/zip-code/22448/zip-code-22448.asp,38.33901,-77.03275,1307,0,68304
VA,22454,https://www.zip-codes.com/zip-code/22454/zip-code-22454.asp,37.848319,-76.83924,1988,192500,68588
VA,22460,https://www.zip-codes.com/zip-code/22460/zip-code-22460.asp,37.86389000000000,-76.61921600000000,1854,144100,54740
VA,22469,https://www.zip-codes.com/zip-code/22469/zip-code-22469.asp,38.062622,-76.659761,2106,183700,53125
